num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
3,4,1.3333333333333333,3.25,32.5,88
2,5,2.5,14.8,74.0,110
1,8,8.0,10.0,100.0,167
5,8,1.6,3.5,17.5,445
5,6,1.2,2.0,20.0,70
4,5,1.25,5.6,28.0,191
4,9,2.25,2.3333333333333335,23.333333333333336,264
6,11,1.8333333333333333,3.272727272727273,16.363636363636367,125
2,5,2.5,5.0,50.0,35
5,5,1.0,4.0,20.0,77
6,8,1.3333333333333333,1.625,16.25,158
3,9,3.0,9.444444444444445,47.22222222222222,178
3,5,1.6666666666666667,3.0,30.0,171
7,8,1.1428571428571428,3.25,16.25,54
4,11,2.75,2.5454545454545454,25.454545454545453,191
3,10,3.3333333333333335,12.9,64.5,174
2,4,2.0,5.5,55.0,88
5,5,1.0,4.0,20.0,69
5,10,2.0,2.0,20.0,66
2,7,3.5,9.142857142857142,45.71428571428571,271
2,5,2.5,5.6,56.0,65
6,6,1.0,3.3333333333333335,16.666666666666668,114
6,9,1.5,1.7777777777777777,17.77777777777778,325
4,11,2.75,10.727272727272727,53.63636363636364,135
6,6,1.0,1.6666666666666667,16.666666666666668,49
1,4,4.0,20.0,100.0,122
5,8,1.6,2.0,20.0,153
7,10,1.4285714285714286,2.8,14.0,110
4,5,1.25,2.4,24.0,218
1,6,6.0,20.0,100.0,65
5,11,2.2,2.272727272727273,22.727272727272727,100
8,10,1.25,2.3,11.499999999999998,288
3,11,3.6666666666666665,6.7272727272727275,33.63636363636364,104
4,9,2.25,2.4444444444444446,24.444444444444446,219
6,6,1.0,3.3333333333333335,16.666666666666668,152
1,5,5.0,10.0,100.0,41
4,8,2.0,5.5,27.5,141
5,9,1.8,1.8888888888888888,18.88888888888889,93
5,6,1.2,4.0,20.0,65
2,4,2.0,4.0,40.0,94
7,10,1.4285714285714286,2.6,13.0,287
4,10,2.5,2.2,22.000000000000004,118
1,6,6.0,20.0,100.0,106
4,5,1.25,2.4,24.0,137
9,10,1.1111111111111112,2.2,11.000000000000002,169
2,7,3.5,4.714285714285714,47.142857142857146,256
2,4,2.0,13.5,67.5,96
5,6,1.2,2.0,20.0,49
7,12,1.7142857142857142,3.0833333333333335,15.416666666666668,92
3,10,3.3333333333333335,4.5,45.0,197
4,5,1.25,5.0,25.0,133
4,6,1.5,2.1666666666666665,21.666666666666664,46
7,8,1.1428571428571428,2.75,13.75,207
3,9,3.0,3.111111111111111,31.111111111111114,202
1,6,6.0,20.0,100.0,145
5,5,1.0,2.0,20.0,67
3,9,3.0,7.666666666666667,38.333333333333336,245
5,11,2.2,2.0,20.0,111
5,7,1.4,3.857142857142857,19.285714285714285,161
3,5,1.6666666666666667,3.0,30.0,71
3,9,3.0,11.444444444444445,57.22222222222223,144
4,8,2.0,2.25,22.5,110
5,5,1.0,4.0,20.0,92
2,6,3.0,6.0,60.0,114
5,6,1.2,2.0,20.0,40
7,10,1.4285714285714286,2.6,13.0,106
1,5,5.0,10.0,100.0,42
1,10,10.0,20.0,100.0,1454
4,6,1.5,4.833333333333333,24.166666666666664,49
5,10,2.0,2.0,20.0,168
1,6,6.0,20.0,100.0,65
1,10,10.0,10.0,100.0,94
3,5,1.6666666666666667,4.0,40.0,45
2,9,4.5,14.444444444444445,72.22222222222223,139
4,6,1.5,2.5,25.0,59
9,11,1.2222222222222223,2.272727272727273,11.363636363636363,170
2,5,2.5,14.8,74.0,112
2,8,4.0,5.0,50.0,60
8,8,1.0,2.5,12.5,77
5,11,2.2,2.272727272727273,22.727272727272727,82
2,4,2.0,7.0,70.0,81
3,8,2.6666666666666665,7.0,35.0,176
5,5,1.0,2.0,20.0,167
9,10,1.1111111111111112,2.2,11.000000000000002,302
2,4,2.0,10.0,50.0,110
3,8,2.6666666666666665,3.25,32.5,93
6,6,1.0,3.3333333333333335,16.666666666666668,105
4,9,2.25,2.2222222222222223,22.22222222222222,181
5,5,1.0,2.0,20.0,113
8,9,1.125,2.4444444444444446,12.222222222222223,220
3,5,1.6666666666666667,3.4,34.0,87
4,9,2.25,5.111111111111111,25.555555555555554,419
4,4,1.0,5.0,25.0,148
4,8,2.0,2.0,20.0,116
3,5,1.6666666666666667,6.4,32.0,188
3,9,3.0,3.5555555555555554,35.55555555555556,169
1,6,6.0,20.0,100.0,83
3,10,3.3333333333333335,4.2,42.0,83
1,6,6.0,10.0,100.0,95
2,11,5.5,17.363636363636363,86.81818181818181,196
1,5,5.0,20.0,100.0,129
2,8,4.0,4.5,45.0,67
3,5,1.6666666666666667,4.4,44.00000000000001,42
2,8,4.0,9.5,47.5,74
1,4,4.0,20.0,100.0,132
3,8,2.6666666666666665,3.375,33.75,87
1,4,4.0,10.0,100.0,92
3,8,2.6666666666666665,7.25,36.25,118
2,5,2.5,15.4,77.0,105
2,9,4.5,5.777777777777778,57.77777777777777,172
2,5,2.5,4.6,45.99999999999999,68
3,9,3.0,8.555555555555555,42.77777777777778,168
4,5,1.25,4.8,24.0,55
5,10,2.0,2.6,26.0,98
3,5,1.6666666666666667,3.0,30.0,43
6,10,1.6666666666666667,3.2,16.0,199
8,8,1.0,2.5,12.5,81
5,11,2.2,1.9090909090909092,19.09090909090909,102
5,6,1.2,2.0,20.0,64
9,13,1.4444444444444444,2.076923076923077,10.384615384615385,101
5,5,1.0,4.0,20.0,342
6,10,1.6666666666666667,1.8,18.0,125
5,6,1.2,2.0,20.0,96
8,11,1.375,2.4545454545454546,12.272727272727273,133
4,4,1.0,5.0,25.0,198
3,8,2.6666666666666665,2.875,28.75,140
3,4,1.3333333333333333,3.25,32.5,132
8,9,1.125,2.4444444444444446,12.222222222222223,147
